trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
107-Oa-0,107,wd,,,,,63rv,,
107-Oe-2,107,wd,,,,,63rv,,
101-Ia-0,101,mo-su,,,,,248l,,
101-Ia-1,101,mo-su,,,,,248l,,
101-Ia-10,101,mo-su,,,,,248l,,
101-Ia-11,101,mo-su,,,,,248l,,
101-Ia-12,101,mo-su,,,,,248l,,
101-Ia-13,101,mo-su,,,,,248l,,
101-Ia-14,101,mo-su,,,,,248l,,
101-Ia-15,101,mo-su,,,,,248l,,
101-Ia-2,101,mo-su,,,,,248l,,
101-Ia-3,101,mo-su,,,,,248l,,
101-Ia-4,101,mo-su,,,,,248l,,
101-Ia-5,101,mo-su,,,,,248l,,
101-Ia-6,101,mo-su,,,,,248l,,
101-Ia-7,101,mo-su,,,,,248l,,
101-Ia-8,101,mo-su,,,,,248l,,
101-Ia-9,101,mo-su,,,,,248l,,
101-Ib-0,101,mo-su,,,,,248l,,
101-Ib-1,101,mo-su,,,,,248l,,
101-Ib-10,101,mo-su,,,,,248l,,
101-Ib-11,101,mo-su,,,,,248l,,
101-Ib-12,101,mo-su,,,,,248l,,
101-Ib-13,101,mo-su,,,,,248l,,
101-Ib-14,101,mo-su,,,,,248l,,
101-Ib-15,101,mo-su,,,,,248l,,
101-Ib-16,101,mo-su,,,,,248l,,
101-Ib-17,101,mo-su,,,,,248l,,
101-Ib-18,101,mo-su,,,,,248l,,
101-Ib-19,101,mo-su,,,,,248l,,
101-Ib-2,101,mo-su,,,,,248l,,
101-Ib-20,101,mo-su,,,,,248l,,
101-Ib-21,101,mo-su,,,,,248l,,
101-Ib-22,101,mo-su,,,,,248l,,
101-Ib-23,101,mo-su,,,,,248l,,
101-Ib-24,101,mo-su,,,,,248l,,
101-Ib-3,101,mo-su,,,,,248l,,
101-Ib-4,101,mo-su,,,,,248l,,
101-Ib-5,101,mo-su,,,,,248l,,
101-Ib-6,101,mo-su,,,,,248l,,
101-Ib-7,101,mo-su,,,,,248l,,
101-Ib-8,101,mo-su,,,,,248l,,
101-Ib-9,101,mo-su,,,,,248l,,
101-Ic-0,101,mo-su,,,,,248l,,
101-Ic-1,101,mo-su,,,,,248l,,
101-Ic-10,101,mo-su,,,,,248l,,
101-Ic-11,101,mo-su,,,,,248l,,
101-Ic-12,101,mo-su,,,,,248l,,
101-Ic-13,101,mo-su,,,,,248l,,
101-Ic-14,101,mo-su,,,,,248l,,
101-Ic-2,101,mo-su,,,,,248l,,
101-Ic-3,101,mo-su,,,,,248l,,
101-Ic-4,101,mo-su,,,,,248l,,
101-Ic-5,101,mo-su,,,,,248l,,
101-Ic-6,101,mo-su,,,,,248l,,
101-Ic-7,101,mo-su,,,,,248l,,
101-Ic-8,101,mo-su,,,,,248l,,
101-Ic-9,101,mo-su,,,,,248l,,
101-Id-0,101,mo-su,,,,,248l,,
101-Id-1,101,mo-su,,,,,248l,,
101-Id-10,101,mo-su,,,,,248l,,
